index,site_id,bit_index,bitwidth,type_kind,opcode
1,1,0,32,int,mul
2,1,1,32,int,mul
3,1,2,32,int,mul
4,1,3,32,int,mul
5,1,4,32,int,mul
6,1,5,32,int,mul
7,1,6,32,int,mul
8,1,7,32,int,mul
9,1,8,32,int,mul
10,1,9,32,int,mul
11,1,10,32,int,mul
12,1,11,32,int,mul
13,1,12,32,int,mul
14,1,13,32,int,mul
15,1,14,32,int,mul
16,1,15,32,int,mul
17,1,16,32,int,mul
18,1,17,32,int,mul
19,1,18,32,int,mul
20,1,19,32,int,mul
21,1,20,32,int,mul
22,1,21,32,int,mul
23,1,22,32,int,mul
24,1,23,32,int,mul
25,1,24,32,int,mul
26,1,25,32,int,mul
27,1,26,32,int,mul
28,1,27,32,int,mul
29,1,28,32,int,mul
30,1,29,32,int,mul
31,1,30,32,int,mul
32,1,31,32,int,mul
33,2,0,32,int,mul
34,2,1,32,int,mul
35,2,2,32,int,mul
36,2,3,32,int,mul
37,2,4,32,int,mul
38,2,5,32,int,mul
39,2,6,32,int,mul
40,2,7,32,int,mul
41,2,8,32,int,mul
42,2,9,32,int,mul
43,2,10,32,int,mul
44,2,11,32,int,mul
45,2,12,32,int,mul
46,2,13,32,int,mul
47,2,14,32,int,mul
48,2,15,32,int,mul
49,2,16,32,int,mul
50,2,17,32,int,mul
51,2,18,32,int,mul
52,2,19,32,int,mul
53,2,20,32,int,mul
54,2,21,32,int,mul
55,2,22,32,int,mul
56,2,23,32,int,mul
57,2,24,32,int,mul
58,2,25,32,int,mul
59,2,26,32,int,mul
60,2,27,32,int,mul
61,2,28,32,int,mul
62,2,29,32,int,mul
63,2,30,32,int,mul
64,2,31,32,int,mul
65,3,0,32,int,add
66,3,1,32,int,add
67,3,2,32,int,add
68,3,3,32,int,add
69,3,4,32,int,add
70,3,5,32,int,add
71,3,6,32,int,add
72,3,7,32,int,add
73,3,8,32,int,add
74,3,9,32,int,add
75,3,10,32,int,add
76,3,11,32,int,add
77,3,12,32,int,add
