site_id,opcode,type_kind,bitwidth,operand_index,function
1,call,int,64,-1,__assert_fail
2,load,int,8,-1,__assert_fail
3,load,ptr,64,0,__assert_fail
4,icmp,int,1,-1,__assert_fail
5,icmp,int,8,0,__assert_fail
6,ptrtoint,int,64,-1,__assert_fail
7,ptrtoint,ptr,64,0,__assert_fail
8,ptrtoint,int,64,-1,__assert_fail
9,ptrtoint,ptr,64,0,__assert_fail
10,sub,int,64,-1,__assert_fail
11,sub,int,64,0,__assert_fail
12,sub,int,64,1,__assert_fail
13,trunc,int,32,-1,__assert_fail
14,trunc,int,64,0,__assert_fail
15,load,int,64,-1,__assert_fail
16,load,ptr,64,0,__assert_fail
17,load,int,32,-1,__assert_fail
18,load,ptr,64,0,__assert_fail
19,sext,int,64,-1,__assert_fail
20,sext,int,32,0,__assert_fail
21,call,int,64,-1,__assert_fail
22,call,int,64,0,__assert_fail
23,call,ptr,64,1,__assert_fail
24,call,int,64,2,__assert_fail
25,load,int,8,-1,__assert_fail
26,load,ptr,64,0,__assert_fail
27,icmp,int,1,-1,__assert_fail
28,icmp,int,8,0,__assert_fail
29,ptrtoint,int,64,-1,__assert_fail
30,ptrtoint,ptr,64,0,__assert_fail
31,ptrtoint,int,64,-1,__assert_fail
32,ptrtoint,ptr,64,0,__assert_fail
33,sub,int,64,-1,__assert_fail
34,sub,int,64,0,__assert_fail
35,sub,int,64,1,__assert_fail
36,trunc,int,32,-1,__assert_fail
37,trunc,int,64,0,__assert_fail
38,load,int,64,-1,__assert_fail
39,load,ptr,64,0,__assert_fail
40,load,int,32,-1,__assert_fail
41,load,ptr,64,0,__assert_fail
42,sext,int,64,-1,__assert_fail
43,sext,int,32,0,__assert_fail
44,call,int,64,-1,__assert_fail
45,call,int,64,0,__assert_fail
46,call,ptr,64,1,__assert_fail
47,call,int,64,2,__assert_fail
48,load,int,64,-1,__assert_fail
49,load,ptr,64,0,__assert_fail
50,load,int,32,-1,__assert_fail
51,load,ptr,64,0,__assert_fail
52,zext,int,64,-1,__assert_fail
53,zext,int,32,0,__assert_fail
54,call,int,64,-1,__assert_fail
55,call,int,64,0,__assert_fail
56,call,int,64,2,__assert_fail
57,load,int,8,-1,__assert_fail
58,load,ptr,64,0,__assert_fail
59,icmp,int,1,-1,__assert_fail
60,icmp,int,8,0,__assert_fail
61,ptrtoint,int,64,-1,__assert_fail
62,ptrtoint,ptr,64,0,__assert_fail
63,ptrtoint,int,64,-1,__assert_fail
64,ptrtoint,ptr,64,0,__assert_fail
65,sub,int,64,-1,__assert_fail
66,sub,int,64,0,__assert_fail
67,sub,int,64,1,__assert_fail
68,trunc,int,32,-1,__assert_fail
69,trunc,int,64,0,__assert_fail
70,load,int,64,-1,__assert_fail
71,load,ptr,64,0,__assert_fail
72,load,int,32,-1,__assert_fail
73,load,ptr,64,0,__assert_fail
74,sext,int,64,-1,__assert_fail
75,sext,int,32,0,__assert_fail
76,call,int,64,-1,__assert_fail
77,call,int,64,0,__assert_fail
78,call,ptr,64,1,__assert_fail
79,call,int,64,2,__assert_fail
80,load,int,8,-1,__assert_fail
81,load,ptr,64,0,__assert_fail
82,icmp,int,1,-1,__assert_fail
83,icmp,int,8,0,__assert_fail
84,ptrtoint,int,64,-1,__assert_fail
85,ptrtoint,ptr,64,0,__assert_fail
86,ptrtoint,int,64,-1,__assert_fail
87,ptrtoint,ptr,64,0,__assert_fail
88,sub,int,64,-1,__assert_fail
89,sub,int,64,0,__assert_fail
90,sub,int,64,1,__assert_fail
91,trunc,int,32,-1,__assert_fail
92,trunc,int,64,0,__assert_fail
93,load,int,64,-1,__assert_fail
94,load,ptr,64,0,__assert_fail
95,load,int,32,-1,__assert_fail
96,load,ptr,64,0,__assert_fail
97,sext,int,64,-1,__assert_fail
98,sext,int,32,0,__assert_fail
99,call,int,64,-1,__assert_fail
100,call,int,64,0,__assert_fail
101,call,ptr,64,1,__assert_fail
102,call,int,64,2,__assert_fail
103,call,int,64,-1,_Z7entropyPfPKcii
104,trunc,int,32,-1,_Z7entropyPfPKcii
105,trunc,int,64,0,_Z7entropyPfPKcii
106,call,int,64,-1,_Z7entropyPfPKcii
107,trunc,int,32,-1,_Z7entropyPfPKcii
108,trunc,int,64,0,_Z7entropyPfPKcii
109,call,int,64,-1,_Z7entropyPfPKcii
110,trunc,int,32,-1,_Z7entropyPfPKcii
111,trunc,int,64,0,_Z7entropyPfPKcii
112,mul,int,32,-1,_Z7entropyPfPKcii
113,mul,int,32,0,_Z7entropyPfPKcii
114,mul,int,32,1,_Z7entropyPfPKcii
115,add,int,32,-1,_Z7entropyPfPKcii
116,add,int,32,0,_Z7entropyPfPKcii
117,add,int,32,1,_Z7entropyPfPKcii
118,call,int,64,-1,_Z7entropyPfPKcii
119,trunc,int,32,-1,_Z7entropyPfPKcii
120,trunc,int,64,0,_Z7entropyPfPKcii
