index,site_id,bit_index,bitwidth,type_kind,opcode
1,1,0,32,int,call
2,1,1,32,int,call
3,1,2,32,int,call
4,1,3,32,int,call
5,1,4,32,int,call
6,1,5,32,int,call
7,1,6,32,int,call
8,1,7,32,int,call
9,1,8,32,int,call
10,1,9,32,int,call
11,1,10,32,int,call
12,1,11,32,int,call
13,1,12,32,int,call
14,1,13,32,int,call
15,1,14,32,int,call
16,1,15,32,int,call
17,1,16,32,int,call
18,1,17,32,int,call
19,1,18,32,int,call
20,1,19,32,int,call
21,1,20,32,int,call
22,1,21,32,int,call
23,1,22,32,int,call
24,1,23,32,int,call
25,1,24,32,int,call
26,1,25,32,int,call
27,1,26,32,int,call
28,1,27,32,int,call
29,1,28,32,int,call
30,1,29,32,int,call
31,1,30,32,int,call
32,1,31,32,int,call
33,2,0,32,int,call
34,2,1,32,int,call
35,2,2,32,int,call
36,2,3,32,int,call
37,2,4,32,int,call
38,2,5,32,int,call
39,2,6,32,int,call
40,2,7,32,int,call
41,2,8,32,int,call
42,2,9,32,int,call
43,2,10,32,int,call
44,2,11,32,int,call
45,2,12,32,int,call
46,2,13,32,int,call
47,2,14,32,int,call
48,2,15,32,int,call
49,2,16,32,int,call
50,2,17,32,int,call
51,2,18,32,int,call
52,2,19,32,int,call
53,2,20,32,int,call
54,2,21,32,int,call
55,2,22,32,int,call
56,2,23,32,int,call
57,2,24,32,int,call
58,2,25,32,int,call
59,2,26,32,int,call
60,2,27,32,int,call
61,2,28,32,int,call
62,2,29,32,int,call
63,2,30,32,int,call
64,2,31,32,int,call
65,3,0,32,int,mul
66,3,1,32,int,mul
67,3,2,32,int,mul
68,3,3,32,int,mul
69,3,4,32,int,mul
70,3,5,32,int,mul
71,3,6,32,int,mul
72,3,7,32,int,mul
73,3,8,32,int,mul
74,3,9,32,int,mul
75,3,10,32,int,mul
76,3,11,32,int,mul
77,3,12,32,int,mul
78,3,13,32,int,mul
79,3,14,32,int,mul
80,3,15,32,int,mul
81,3,16,32,int,mul
82,3,17,32,int,mul
83,3,18,32,int,mul
84,3,19,32,int,mul
85,3,20,32,int,mul
86,3,21,32,int,mul
87,3,22,32,int,mul
88,3,23,32,int,mul
89,3,24,32,int,mul
90,3,25,32,int,mul
91,3,26,32,int,mul
92,3,27,32,int,mul
93,3,28,32,int,mul
94,3,29,32,int,mul
95,3,30,32,int,mul
96,3,31,32,int,mul
97,4,0,32,int,call
98,4,1,32,int,call
99,4,2,32,int,call
100,4,3,32,int,call
101,4,4,32,int,call
102,4,5,32,int,call
103,4,6,32,int,call
104,4,7,32,int,call
105,4,8,32,int,call
106,4,9,32,int,call
107,4,10,32,int,call
108,4,11,32,int,call
109,4,12,32,int,call
110,4,13,32,int,call
111,4,14,32,int,call
112,4,15,32,int,call
113,4,16,32,int,call
114,4,17,32,int,call
115,4,18,32,int,call
116,4,19,32,int,call
117,4,20,32,int,call
118,4,21,32,int,call
119,4,22,32,int,call
120,4,23,32,int,call
121,4,24,32,int,call
122,4,25,32,int,call
123,4,26,32,int,call
124,4,27,32,int,call
125,4,28,32,int,call
126,4,29,32,int,call
127,4,30,32,int,call
128,4,31,32,int,call
129,5,0,32,int,add
130,5,1,32,int,add
131,5,2,32,int,add
132,5,3,32,int,add
133,5,4,32,int,add
134,5,5,32,int,add
135,5,6,32,int,add
136,5,7,32,int,add
137,5,8,32,int,add
138,5,9,32,int,add
139,5,10,32,int,add
140,5,11,32,int,add
141,5,12,32,int,add
142,5,13,32,int,add
143,5,14,32,int,add
144,5,15,32,int,add
145,5,16,32,int,add
146,5,17,32,int,add
147,5,18,32,int,add
148,5,19,32,int,add
149,5,20,32,int,add
150,5,21,32,int,add
151,5,22,32,int,add
152,5,23,32,int,add
153,5,24,32,int,add
154,5,25,32,int,add
155,5,26,32,int,add
156,5,27,32,int,add
157,5,28,32,int,add
158,5,29,32,int,add
159,5,30,32,int,add
160,5,31,32,int,add
161,6,0,64,int,zext
225,7,0,64,int,load
226,7,1,64,int,load
227,7,2,64,int,load
228,7,3,64,int,load
229,7,4,64,int,load
230,7,5,64,int,load
231,7,6,64,int,load
232,7,7,64,int,load
233,7,8,64,int,load
234,7,9,64,int,load
235,7,10,64,int,load
236,7,11,64,int,load
237,7,12,64,int,load
238,7,13,64,int,load
239,7,14,64,int,load
240,7,15,64,int,load
241,7,16,64,int,load
